sedaadmin,enrollment_dist,perc_black,log_median_income,poverty_rate,unemployment_rate,urban,town,suburb,rural
1809180,1413.0,0.020211264200000002,11.294171,0.0500204204,0.0560236096,0.0,0.0,0.0,1.0
1809300,1281.4,0.00576994876,10.791461,0.1061461,0.0443523632,0.0,0.0,0.0,1.0
1809360,808.8,0.0010113447200000001,10.757021,0.14038640200000002,0.07030214,0.0,0.0,0.0,1.0
1809420,1654.8,0.00277298426,10.871091,0.1035242062,0.0344333116,0.0,1.0,0.0,0.0
1809480,2813.4,0.00730469242,10.8863308,0.096095399,0.0458982452,0.0,0.0,1.0,0.0
1809510,5059.8,0.0899492352,10.4514402,0.218273188,0.076973638,0.0,1.0,0.0,0.0
1809600,785.8,0.00254218872,10.871078399999998,0.0728176056,0.045380142,0.0,0.0,0.0,1.0
1809630,1823.0,0.00603705226,10.7127298,0.12224771599999999,0.0372595972,0.0,1.0,0.0,0.0
1809690,6550.2,0.607600294,10.909175600000001,0.11836346199999999,0.08053971060000001,0.0,0.0,1.0,0.0
1809720,997.0,0.0068171288,10.9747824,0.0962176928,0.028965728000000003,0.0,0.0,0.0,1.0
1809750,2185.2,0.00949119628,10.7179356,0.164415314,0.0565612888,0.0,1.0,0.0,0.0
1809810,1911.0,0.00470597744,10.579074199999999,0.15921488,0.0692669428,0.0,1.0,0.0,0.0
1809840,936.0,0.007472766559999999,10.8786422,0.0917685868,0.065926466,0.0,0.0,1.0,0.0
1809990,1213.8,0.00413352976,10.5083176,0.213750302,0.0876578182,0.0,1.0,0.0,0.0
1810020,2668.0,0.0034502872000000003,10.7744,0.12342884999999999,0.0606283586,0.0,1.0,0.0,0.0
1810080,4689.6,0.00804977004,10.7302326,0.15633243800000002,0.053205999000000004,0.0,1.0,0.0,0.0
1810110,797.0,0.00278986026,10.6956208,0.137479344,0.049912201,0.0,0.0,0.0,1.0
1810140,4040.4,0.0169755784,10.761043,0.152784516,0.0651810946,0.0,1.0,0.0,0.0
1810170,597.4,0.00167625682,10.6765822,0.140606048,0.0458031636,0.0,0.0,0.0,1.0
1810230,1199.2,0.00033004735599999997,10.918918399999999,0.0637580582,0.0391476122,0.0,0.0,0.0,1.0
1810260,1278.6,0.00861073696,10.6641722,0.207802642,0.05912187840000001,0.0,1.0,0.0,0.0
1810290,18023.4,0.360344046,10.628425400000001,0.206484756,0.0770136578,1.0,0.0,0.0,0.0
1810350,1994.4,0.00391988944,10.9899892,0.0866039992,0.030898209399999998,0.0,0.0,0.0,1.0
